ANITA-II,,RICE,,Auger,,IceCube,,MACRO,
X,Y,X,Y,X,Y,X,Y,X,Y
9.039115818406206,3.705852151761335e-18,7.030371072585867,2.0105845598410536e-18,8.017774343122102,7.502120560513541e-18,6.043276661514683,3.282744448985707e-18,6.050205560249008,1.4672549509537542e-16
9.123202807766127,2.8299572136553127e-18,7.114458061945788,1.6373100787182046e-18,9.013137557959816,1.0372373759643262e-19,12.972952086553322,3.4659707083381886e-18,6.134292549608929,1.467736087050772e-16
9.207289797126048,2.142223662882749e-18,7.198545051305709,1.3333357608615677e-18,10.013910355486862,2.1383205819357308e-20,,,6.2183795389688505,1.4682173809199228e-16
9.291376786,1.6216224753049207e-18,7.282632041,1.0951418132496709e-18,10.998454404945903,3.176863934195494e-21,,,6.302466528328772,1.4686988326129372e-16
9.375463776,1.2296912004607378e-18,7.366719030025552,8.93736538343166e-19,11.96676970633694,2.5633666194284095e-21,,,6.386553517688693,1.46918044218158e-16
9.459550765205812,9.308527969803144e-19,7.448151758357698,7.217847292055425e-19,12.978361669242657,2.436782724101495e-21,,,6.470640507048614,1.4696622096776148e-16
9.543637754565733,7.034035943444678e-19,7.532238747717619,5.910973367034027e-19,,,,,6.554727496408535,1.470144135152823e-16
9.627724743925654,5.3339739890766485e-19,7.620678725163092,4.714134855666125e-19,,,,,6.638814485768457,1.4706262186590198e-16
9.711811733285577,4.0448014120060036e-19,7.704765714523013,3.8389335448935906e-19,,,,,6.722901475128378,1.4711084602480209e-16
9.795898722645498,3.056474515459605e-19,7.7888527038829345,3.1463777875962664e-19,,,,,6.806988464488299,1.4715908599716633e-16
9.879985712,2.3136929422188236e-19,7.872939693242856,2.5787612800558604e-19,,,,,6.891075454,1.4720734178818025e-16
9.964072701,1.7575731109837066e-19,7.957026682602777,2.1180781218629802e-19,,,,,6.975162443208141,1.47255613403031e-16
10.048159690725262,1.5120918622869488e-19,8.026249810207156,1.9074876491433806e-19,,,,,7.059249432568063,1.4730390084690747e-16
10.132246680085183,1.4275634972449496e-19,8.114158935447074,1.9777174596556738e-19,,,,,7.143336421927984,1.4735220412500028e-16
10.216333669445104,1.3524942520929126e-19,8.205890196566987,2.0505635477166817e-19,,,,,7.227423411287905,1.4740052324250107e-16
10.300420658805026,1.276887649935031e-19,8.297621457686901,2.1260928059746503e-19,,,,,7.311510400647826,1.4744885820460506e-16
10.384507648164947,1.209741780620236e-19,8.389352718806816,2.1983395251047455e-19,,,,,7.395597390007747,1.4749720901650735e-16
10.468594637524868,1.1461268153487756e-19,8.48108398,2.285599794625949e-19,,,,,7.479684379367669,1.4754557568340473e-16
10.55268162688479,1.0820564845385255e-19,8.576637377,2.340624190957929e-19,,,,,7.563771369,1.475939582104975e-16
10.63676861624471,1.0269547149094179e-19,8.668368638046555,2.4335322679034624e-19,,,,,7.647858358087511,1.4764235660298588e-16
10.720855605604632,9.678480602129558e-20,8.760099899166468,2.422694656800693e-19,,,,,7.731945347447432,1.4769077086607237e-16
10.804942594964553,9.185621480523009e-20,8.855653296166379,2.6125423213336573e-19,,,,,7.816032336807353,1.4773920100496122e-16
10.889029584324474,8.672130478416269e-20,8.947384557286293,2.693887468836347e-19,,,,,7.900119326167275,1.4778764702485831e-16
10.973116573684395,8.21610152409587e-20,9.035293682526211,2.871086722851161e-19,,,,,7.984206315527196,1.478361089309713e-16
11.057203563044316,7.893992897670133e-20,9.127024943646123,3.0800741817656473e-19,,,,,8.068293304887117,1.515591141493144e-16
11.141290552404238,7.651287190503942e-20,9.218756204766038,3.31224857802659e-19,,,,,8.152380294247038,1.5510372408541625e-16
11.225377541764159,7.416043620820477e-20,9.310487465885952,3.570520646458274e-19,,,,,8.236467284,1.5956825492033382e-16
11.30946453112408,7.188032760575366e-20,9.402218727005867,3.839664643163432e-19,,,,,8.320554273,1.6473789059590627e-16
11.393551520484001,6.930486425366833e-20,9.493949988125781,4.1191552452660574e-19,,,,,8.404641262326802,1.6829542123394195e-16
11.477638509843922,6.717404322218344e-20,9.585681249245695,4.429655033821964e-19,,,,,8.488728251686723,1.7344346375466425e-16
11.561725499203844,6.488084932248996e-20,9.67741251,4.844621086745153e-19,,,,,8.572815241046644,1.784358886407435e-16
11.645812488563765,6.277589756636805e-20,9.765321635605527,5.177535802030605e-19,,,,,8.656902230406565,1.8325047562063204e-16
11.729899477923686,6.084581366467938e-20,9.857052896725442,5.579331713546845e-19,,,,,8.740989219766487,1.878653324504883e-16
