trueE,recE,rec_theta,rec_phi,rec_x,rec_y,NhitE,NhitM,NtrigE,NfiltE,Eage,Echi,Endf,NpE1,NpE2,NpE3,NuW1,NuW2,NuW3,NuM1,NuM2,NuM3,NuM4,NuM5,N_ED_pe,N_MD_pe,R_ue,compactness,pincness,rho40,R_mean
743563840.0,0.8656144868996147,0.6494907140731812,2.4532928466796875,-146.60731506347656,410.0671691894531,117,87,22,17,0.8909397125244141,684.3344116210938,-1,42.00986099243164,4.616237640380859,48.722442626953125,-10.0,1.1466584205627441,0.14128151535987854,0.0,0.0,0.0,0.0,1.7066667079925537,48.722443,0.0,-5.6877290528763655,0.18780919279450545,0.6363636363636364,64.73608043726331,36.39167178410065
1860428928.0,1.1654953317772652,0.7337026000022888,3.712266206741333,17.94978904724121,-428.7513427734375,173,89,23,17,1.0344597101211548,1819.68212890625,-1,117.6644058227539,11.511296272277832,134.11239624023438,1.193037986755371,1.6490023136138916,0.49552327394485474,0.0,0.0,0.0,0.0,2.013333320617676,134.1124,0.0,-6.127468922295401,0.03235059105416248,0.6666666666666674,205.48301986905577,67.20213288922972
1135296896.0,1.0791716961754374,0.47112810611724854,4.590891361236572,-445.9186096191406,-28.86417579650879,110,129,21,18,0.8453672528266907,1315.85595703125,-1,66.15431213378906,9.467020034790039,70.05052947998047,0.984251856803894,1.1379364728927612,0.19577938318252563,0.0,2.946666717529297,0.0,2.946666717529297,2.946666717529297,70.05053,0.0,-5.845411422267971,0.1384661583958324,0.5454545454545446,59.409195001104194,34.47123706675385
765291840.0,0.7924214196131998,0.11950834840536118,5.509537696838379,-344.9449157714844,-102.36007690429688,110,128,25,18,1.430122971534729,178.5657196044922,-1,23.008304595947266,9.788609504699707,25.03727149963379,0.9555849432945251,0.8578065037727356,0.11394713073968887,0.0,0.0,0.0,0.0,0.0,25.037271,0.0,-5.398586998770889,0.15081079022043548,0.5,45.66151579112553,53.09626656483763
2209234432.0,1.1741896895865624,0.7415743470191956,1.1488673686981201,165.79603576660156,-153.32525634765625,150,125,21,15,0.8667637705802917,2233.831298828125,-1,121.71646881103516,13.255188941955566,121.71646881103516,1.2579972743988037,1.4569705724716187,0.2573871314525604,1.226479411125183,2.5464794635772705,1.226479411125183,2.5464794635772705,2.5464794635772705,121.71647,1.2264794,-1.9966536737750566,0.05364450468891311,0.7142857142857144,132.55188659011208,20.858674706099503
1251455488.0,1.1519168345047361,0.7054394483566284,4.928313255310059,82.64737701416016,295.6661682128906,130,91,26,24,1.19119393825531,1177.52001953125,-1,109.66190338134766,27.854774475097656,114.50292205810547,1.5341811180114746,1.5601733922958374,0.38936495780944824,1.0876471996307373,1.0876471996307373,1.0876471996307373,1.0876471996307373,2.1809804439544678,114.50292,1.0876472,-2.022288595908953,0.07941665074959964,0.5882352941176472,136.9754397932341,35.245419344528635
1090727808.0,1.0243764874031664,0.5078349113464355,4.4810333251953125,-92.41365814208984,-433.2422790527344,132,111,22,15,0.9162768125534058,975.6888427734375,-1,58.009368896484375,11.086309432983398,64.11174011230469,1.0592490434646606,1.130402684211731,0.19197554886341095,0.0,0.0,0.0,0.0,0.0,64.11174,0.0,-5.806937564606644,0.08651106573388771,0.6250000000000003,76.3941403574057,34.21011852470487
1389155840.0,1.1571635186030482,0.7540090084075928,2.3785672187805176,91.74960327148438,-329.9994812011719,167,105,21,17,0.9856836795806885,1565.1766357421875,-1,117.44462585449219,12.517396926879883,126.57017517089844,1.245872974395752,1.4816327095031738,0.2754662334918976,0.6057993173599243,2.1257994174957275,0.6057993173599243,2.1257994174957275,2.1257994174957275,126.570175,0.6057993,-2.319930917961551,0.07293666602715371,0.6000000000000003,90.97592423701191,33.155490101891026
6479603200.0,1.7420395810767797,0.7081672549247742,2.7946572303771973,157.10757446289062,399.2701110839844,223,112,27,27,1.0206300020217896,8226.8681640625,-1,604.5614013671875,57.07097625732422,708.755859375,1.8315154314041138,2.2145650386810303,2.243027448654175,0.3490504026412964,0.8823837637901306,0.3490504026412964,0.8823837637901306,0.8823837637901306,708.75586,0.3490504,-3.307484115076595,0.022810767804951743,0.6666666666666661,482.23738960467637,39.83957385137265
5434128896.0,1.592467433347645,0.5684599876403809,1.3169745206832886,136.12908935546875,281.53729248046875,177,111,20,18,0.9654985070228577,4505.87646484375,-1,340.147705078125,35.390995025634766,353.9493103027344,1.5577478408813477,1.7042789459228516,0.7789039611816406,0.0,5.013333320617676,0.0,5.013333320617676,5.013333320617676,353.9493,0.0,-6.548941070409724,0.031438940277504206,0.6363636363636362,359.5569237883272,33.28178697694078
1696392064.0,1.345697876565287,0.7488871812820435,3.013611078262329,-401.3577880859375,-276.1831970214844,179,117,23,19,1.0782803297042847,930.189208984375,-1,201.54327392578125,15.566900253295898,214.85867309570312,1.3308237791061401,1.603879690170288,0.38527870178222656,0.0,0.0,0.0,0.0,2.4133334159851074,214.85867,0.0,-6.332152889328184,0.052189143089615676,0.5833333333333336,151.94523220761397,23.14260339617444
3446495488.0,1.5679264876912171,0.23951779305934906,1.6945663690567017,11.884306907653809,-470.506591796875,179,102,26,21,0.9867169857025146,4922.451171875,-1,253.20709228515625,13.72718334197998,295.2668151855469,1.1017390489578247,1.6639280319213867,0.822579562664032,0.36768651008605957,0.0,0.0,0.36768651008605957,0.36768651008605957,295.2668,0.3676865,-2.904618843821379,0.021756685710558412,0.684210526315789,278.93461370967344,34.922351628196296
828197632.0,0.9006052742595327,0.37650004029273987,3.0551817417144775,-297.4369812011719,-77.42366790771484,112,88,21,16,0.8775988817214966,479.8082275390625,-1,35.88166046142578,7.522904872894287,37.31610870361328,0.8704009652137756,0.8721834421157837,0.10882214456796646,0.0,1.0133333206176758,0.0,1.0133333206176758,1.0133333206176758,37.31611,0.0,-5.571896349526245,0.12878894836674087,0.5999999999999999,68.93264550110965,45.4569182874984
557415552.0,0.9336683153209953,0.5000966191291809,2.0235092639923096,-242.32003784179688,-180.54881286621094,119,100,22,16,0.8312572836875916,710.2874145507812,-1,43.812862396240234,9.481437683105469,44.745697021484375,0.9926263093948364,0.9858783483505249,0.131517693400383,0.0,0.0,0.0,0.0,0.0,44.745697,0.0,-5.650751277647975,0.11773541351270474,0.6666666666666662,82.81641915843785,27.516830878966655
480557408.0,0.6953491741838982,0.5588599443435669,6.262679576873779,25.060121536254883,465.7855529785156,102,101,19,12,1.1759306192398071,304.505859375,-1,22.46173858642578,3.2620625495910645,26.636533737182617,-10.0,0.9394177794456482,0.10424946248531342,1.0932546854019165,1.0932546854019165,1.0932546854019165,1.0932546854019165,1.0932546854019165,26.636534,1.0932547,-1.3867166382180112,0.06587149556141587,0.6666666666666664,99.15810261763887,37.491364038941036
