NhitE_bin_left_edge,NhitE,NtrigE_bin_left_edge,NtrigE,NhitM_bin_left_edge,NhitM,NpE1_bin_left_edge,NpE1,NpE3_bin_left_edge,NpE3,NuM1_bin_left_edge,NuM1
110.0,0.0,44.21900000000001,0.0,79.0,0.0,64.7505249862671,0.0,83.97102800750733,0.0,2.1342272183895115,0.9010117774271036
113.0,0.0,45.49681000000001,0.0,79.91,0.0,73.40625887214661,0.0,93.09583402381898,0.0,3.019730382301808,0.7450444144462701
116.0,0.0,46.774620000000006,0.0,80.82,0.0,82.06199275802612,0.0,102.22064004013062,0.0,3.905233546214104,0.6337977783384592
119.0,0.0,48.05243000000001,0.0,81.73,0.0,90.71772664390565,0.0,111.34544605644226,0.0,4.790736710126401,0.8179852169742511
122.0,0.0,49.33024000000001,0.0,82.64,0.0,99.37346052978516,0.0,120.47025207275391,0.0,5.676239874038696,0.7033132416039869
125.0,0.0,50.608050000000006,0.0,83.55,0.0,108.02919441566468,0.0,129.59505808906556,0.0,6.561743037950993,0.5530807472785099
128.0,0.0,51.88586000000001,0.0,84.46,0.4162778463314115,116.6849283015442,0.0,138.7198641053772,0.0,7.44724620186329,0.6768249065842669
131.0,0.0,53.16367000000001,0.0,85.37,0.0,125.34066218742372,0.0,147.84467012168884,0.0,8.332749365775586,0.7518049486738142
134.0,0.0,54.441480000000006,0.0,86.28,0.0,133.99639607330323,0.0,156.9694761380005,0.0,9.218252529687883,0.8140477839581187
137.0,0.0,55.71929000000001,0.0,87.19,0.1868873387508456,142.65212995918273,0.0,166.09428215431214,0.0,10.103755693600178,0.8412155822741596
140.0,0.0,56.9971,0.0,88.1,0.12703456488192577,151.30786384506226,0.0,175.21908817062376,0.0,10.989258857512475,0.8344108252071218
143.0,0.0,58.274910000000006,5.462506694753194,89.01,1.0,159.96359773094179,0.0,184.34389418693542,0.0,11.874762021424772,0.7185398220254262
146.0,0.0,59.55272000000001,0.0,89.92,0.15148894027975301,168.61933161682128,0.0,193.46870020324707,0.0,12.760265185337069,0.8052617483694403
149.0,0.0,60.83053000000001,0.0,90.83,0.0,177.2750655027008,0.0,202.59350621955872,0.0,13.645768349249364,0.8454396843336343
152.0,0.0,62.108340000000005,1.6041997082687074,91.74,0.11658923667305625,185.93079938858034,0.0,211.71831223587037,0.0,14.531271513161661,1.028687376603946
155.0,0.0,63.38615000000001,10.868217071587237,92.65,0.195467229266765,194.58653327445984,0.0,220.843118252182,0.0,15.416774677073956,0.902204344266615
158.0,0.0,64.66396,1.4707109832573617,93.56,0.08440550056207048,203.24226716033937,0.0,229.96792426849365,0.0,16.302277840986253,0.9890387667115613
161.0,0.0,65.94177,0.47688219287072614,94.47,0.29408603591457605,211.8980010462189,0.0,239.0927302848053,0.0,17.18778100489855,1.0397869769322776
164.0,0.0,67.21958000000001,0.48344186118010535,95.38,0.13390774645198794,220.5537349320984,0.0,248.21753630111695,0.6493650216248684,18.073284168810844,0.970573532597735
167.0,0.0,68.49739000000001,0.7148704400009054,96.28999999999999,0.183283979864602,229.20946881797792,0.5090189911656141,257.3423423174286,0.3271084918068147,18.95878733272314,0.8706218113869938
170.0,0.0,69.77520000000001,0.3345351330127639,97.2,0.3422277820938198,237.86520270385742,0.6127783053295707,266.4671483337402,1.0566050185295894,19.844290496635438,0.9211804043747992
173.0,0.0,71.05301,0.3580769245521459,98.11,0.08592374523237141,246.52093658973695,0.7641243651978201,275.5919543500519,0.4576961703874242,20.729793660547735,0.9136900710264505
176.0,0.0,72.33082,1.7047723346378,99.02,1.0,255.17667047561648,0.5410952498903421,284.7167603663635,0.7302711064109749,21.61529682446003,1.041097888389821
179.0,0.0,73.60863,0.39529964027178077,99.93,0.1939357498546806,263.83240436149595,0.7230973484507923,293.8415663826752,0.7746619970175018,22.50079998837233,0.9880376164702749
182.0,0.0,74.88644000000001,0.6427712687138775,100.84,0.349688591546575,272.4881382473755,0.7562784954522321,302.9663723989868,0.8622623645866284,23.386303152284626,1.0092435813829035
185.0,0.236987527221252,76.16425000000001,0.8946285815414515,101.75,0.11054106325579108,281.14387213325506,0.9038492465288115,312.0911784152985,0.7908002047085848,24.27180631619692,0.9761324987457609
188.0,0.0,77.44206,0.8918100233287715,102.66,0.2713595355882624,289.79960601913456,0.7566664143739034,321.2159844316101,0.8235625419314592,25.157309480109216,1.0874344404856429
191.0,0.07406937847942534,78.71987000000001,0.67765043939425,103.57,0.37798765371923043,298.45533990501406,0.749557683304358,330.34079044792173,0.9115507515754464,26.042812644021513,1.0582330458185414
194.0,0.22747669792760694,79.99768,0.8250780224025942,104.48,0.3432187034813344,307.11107379089356,0.8566621534148956,339.4655964642334,0.7513152248547625,26.92831580793381,1.0888712858408351
197.0,0.3998615672817992,81.27549,0.5634868760071299,105.39,0.34373947685373685,315.76680767677306,0.9444773107602937,348.590402480545,0.8845532155925462,27.813818971846107,1.0275257454551605
200.0,0.21844845973619553,82.55330000000001,0.4627027986093577,106.3,0.4774813240134579,324.42254156265255,0.8841429202829973,357.7152084968567,1.0965937747990415,28.6993221357584,1.071108837788705
203.0,0.1794147417505433,83.83111,0.48271366308610114,107.21000000000001,0.5652732729527403,333.07827544853217,0.9957601773699469,366.8400145131683,0.932046791100267,29.584825299670698,0.9673744202665859
206.0,0.25577529924455794,85.10892000000001,0.6582898852016283,108.12,0.6296818119963185,341.73400933441167,0.985522911329558,375.96482052948,0.9585964701184302,30.470328463582995,0.9995615237140653
