trueE,recE,rec_theta,rec_phi,rec_x,rec_y,NhitE,NhitM,NtrigE,NfiltE,Eage,Echi,Endf,NpE1,NpE2,NpE3,NuW1,NuW2,NuW3,NuM1,NuM2,NuM3,NuM4,NuM5,N_ED_pe,N_MD_pe,R_ue,compactness,pincness,rho40,R_mean
25410613248.0,2.2004161658631674,0.6252723932266235,3.7291195392608643,-70.72212982177734,552.4265747070312,736,114,125,129,1.0437884330749512,22565.96875,-1,2240.337646484375,456.1108093261719,2347.7470703125,2.6354548931121826,2.753540515899658,10.311064720153809,7.7903642654418945,5.438200950622559,5.438200950622559,7.7903642654418945,7.7903642654418945,2347.747,7.7903643,-2.4790879674577626,0.09945378365309894,0.8360655737704916,226.93418588095537,38.4892338386576
18725607424.0,2.404461138739318,0.6607914566993713,0.7776784896850586,364.60235595703125,-138.12640380859375,617,108,169,194,1.1544572114944458,13191.2353515625,-1,3323.41259765625,353.29034423828125,3445.789794921875,2.549961805343628,2.561056613922119,6.0505170822143555,0.531132698059082,0.531132698059082,0.531132698059082,0.531132698059082,1.7711327075958252,3445.7898,0.5311327,-3.8120039818874916,0.32108000248622354,0.8852459016393442,151.90202203085866,42.96089057800963
16850242560.0,2.00617479174336,0.3155537545681,1.5269474983215332,-380.2481994628906,134.1538848876953,428,111,161,138,1.0549975633621216,9538.609375,-1,927.5341796875,250.35902404785156,992.729736328125,2.3046798706054688,2.293865442276001,3.638848066329956,0.0,0.0,0.0,0.0,1.2933332920074463,992.72974,0.0,-6.996831030975714,0.2956263622980382,0.8692307692307691,122.17252263599164,38.26967556372902
14205585408.0,1.8935129254913274,0.5997151732444763,4.601882457733154,-288.72802734375,-253.35421752929688,489,118,163,174,1.0022956132888794,13732.306640625,-1,1253.822998046875,267.2371520996094,1329.857177734375,2.4031310081481934,2.3881471157073975,4.138472080230713,1.2116483449935913,1.2799999713897705,0.0,2.4916484355926514,4.638315200805664,1329.8572,1.2116483,-3.040392566443896,0.2714685313605074,0.8719512195121953,102.73814448589846,36.05875759960243
42279333888.0,2.5427951941216493,0.7355442643165588,4.782040119171143,331.48077392578125,-64.79804229736328,1786,121,213,212,1.0399610996246338,44413.85546875,-1,4307.39892578125,1014.6431274414062,4615.87255859375,3.038461923599243,2.991929531097412,16.731882095336914,5.721153736114502,4.284390449523926,3.76908802986145,6.236455917358398,6.236455917358398,4615.8726,5.7211537,-2.9067626006692446,0.12493178623566722,0.8774509803921569,363.4663901318586,48.05783687163238
11965503488.0,1.8938567833782813,0.6951572299003601,1.576982855796814,-127.87730407714844,227.75296020507812,446,85,146,176,1.0067731142044067,10412.220703125,-1,922.8551025390625,236.9940948486328,996.0300903320312,2.408083915710449,2.4130325317382812,3.7729580402374268,1.3460755348205566,3.380359649658203,1.3460755348205566,3.380359649658203,5.340359687805176,996.0301,1.3460755,-2.8691707652790512,0.40763442871522737,0.8620689655172413,97.84125575071617,46.44684057862196
29828034560.0,2.3843249542776537,0.578273355960846,4.572991371154785,111.41466522216797,-91.23741149902344,978,109,160,137,1.11980402469635,27587.927734375,-1,3005.983642578125,365.2144775390625,3201.183837890625,2.5225062370300293,2.7517850399017334,10.624591827392578,2.8739304542541504,2.8739304542541504,2.8739304542541504,2.8739304542541504,2.8739304542541504,3201.1838,2.8739305,-3.04681924980304,0.12606448688288513,0.8134328358208955,217.1841097776618,44.81499711733545
11027866624.0,1.9248435504788142,0.6542404890060425,1.870654821395874,272.0232238769531,-225.31690979003906,468,100,159,188,1.0851757526397705,9821.6962890625,-1,965.7752685546875,255.81614685058594,1067.8096923828125,2.4131827354431152,2.37888240814209,3.795922040939331,1.9474444389343262,0.9066666960716248,0.9066666960716248,1.9474444389343262,1.9474444389343262,1067.8097,1.9474444,-2.7390064824205247,0.3940274804397137,0.8736263736263736,104.50491225786226,44.6874657787552
12585717760.0,1.8999900977173478,0.46324989199638367,0.6642398238182068,179.33230590820312,-139.80738830566406,485,107,203,179,1.101775050163269,10330.8173828125,-1,1097.130615234375,273.66754150390625,1167.60400390625,2.3672003746032715,2.343101978302002,4.0357465744018555,2.7571938037872314,1.9256197214126587,0.0,4.6828131675720215,4.6828131675720215,1167.604,2.7571938,-2.626812530711319,0.579770186352201,0.8641304347826086,96.76041277779156,40.19865425855614
14017149952.0,2.022999841102643,0.2630767524242401,4.77164888381958,421.0212097167969,2.7669758796691895,442,120,181,147,0.9328479170799255,11506.8154296875,-1,949.024658203125,192.4748992919922,1026.5611572265625,2.1908392906188965,2.2549214363098145,3.318270683288574,1.9540799856185913,0.9923111796379089,0.9923111796379089,1.9540799856185913,4.207413196563721,1026.5612,1.95408,-2.72042026650523,0.42678293802892775,0.8601398601398601,97.31046616329392,35.3568393888281
