trueE,recE,rec_theta,rec_phi,rec_x,rec_y,NhitE,NhitM,NtrigE,NfiltE,Eage,Echi,Endf,NpE1,NpE2,NpE3,NuW1,NuW2,NuW3,NuM1,NuM2,NuM3,NuM4,NuM5,N_ED_pe,N_MD_pe,R_ue,compactness,pincness,rho40,R_mean
254106124288.0,2.938751459121704,0.625065803527832,3.729020833969116,-186.77557373046875,535.174072265625,2988,127,407,322,0.9942827820777893,183929.765625,-1,16968.3125,3780.924560546875,18117.12109375,3.5060184001922607,3.699424982070923,101.71536254882812,32.25265884399414,20.758459091186523,18.462316513061523,34.548797607421875,34.548797607421875,18117.121,32.25266,-2.7495223177932404,0.054345913129304264,0.9166666666666666,641.0603727255299,64.44884701862144
366505885696.0,2.809267520904541,0.7216626405715942,5.272491455078125,-71.51177215576172,-307.9217224121094,8154,148,655,668,0.9835553765296936,531064.5625,-1,47465.9375,9927.42578125,51198.828125,3.965757131576538,3.9131357669830322,165.60360717773438,105.99203491210938,71.74056243896484,60.512001037597656,117.2206039428711,117.2206039428711,51198.83,105.992035,-2.683986380772258,0.0737,0.9542302357836339,917.6473004933571,76.73630083415755
192553549824.0,3.0207340717315674,0.5767654776573181,5.582721710205078,-133.19322204589844,-539.7752685546875,1796,102,311,297,0.9368888139724731,162154.6875,-1,14100.1611328125,2156.9423828125,14693.7001953125,3.252995252609253,3.4268264770507812,53.07869338989258,23.56747055053711,17.382957458496094,15.877019882202148,25.073408126831055,25.073408126831055,14693.7,23.56747,-2.794816358584179,0.09801889800799451,0.9029126213592233,417.5502294167986,49.48433701440169
126780645376.0,3.0983834266662598,0.4257187247276306,0.1484028398990631,146.01394653320312,341.8720703125,1848,118,516,472,0.9352803826332092,125982.265625,-1,10600.4208984375,2073.64794921875,11344.8662109375,3.1925580501556396,3.2496771812438965,33.497230529785156,19.053598403930664,12.79295539855957,11.532739639282227,20.313812255859375,21.71161460876465,11344.866,19.053598,-2.774820092051666,0.24455606709723435,0.9426751592356686,262.0318778970713,50.6548706962654
147420446720.0,3.0314316749572754,0.43076854944229126,4.081338405609131,208.31468200683594,-62.697288513183594,1906,133,504,377,1.096457839012146,108684.046875,-1,11644.7939453125,1913.1512451171875,12270.2802734375,3.1604344844818115,3.2823140621185303,37.18998336791992,30.525436401367188,16.006853103637695,15.008554458618164,31.52373504638672,31.52373504638672,12270.28,30.525436,-2.6041911786414036,0.18525712182911636,0.9325301204819277,291.4411482191182,50.17687732859344
195439640576.0,2.711808204650879,0.7839053273200989,4.424042701721191,216.8662109375,54.49700927734375,3260,144,433,477,1.0827202796936035,234870.921875,-1,24161.283203125,4025.98974609375,25534.400390625,3.6532585620880127,3.6659200191497803,84.45032501220703,73.0285873413086,46.344200134277344,42.407649993896484,76.96514129638672,76.96514129638672,25534.4,73.02859,-2.5436321695698627,0.09207367240494702,0.9376114081996433,534.7423944220395,63.686312353061645
853282455552.0,3.1015584468841553,0.20085473358631134,3.4709324836730957,-334.4467468261719,2.3525943756103516,6412,165,726,462,1.0043377876281738,554665.0,-1,59887.25390625,13852.3525390625,64784.40234375,3.946316719055176,4.1438422203063965,220.5022735595703,134.232177734375,98.44839477539062,86.91343688964844,145.76715087890625,147.15382385253906,64784.402,134.23218,-2.683613496998785,0.0507,0.946058091286307,1549.1838171695974,73.99877375478137
231631142912.0,3.0791425704956055,0.3582459092140198,4.798755645751953,-72.3776626586914,237.8427734375,2847,143,523,402,0.9862352013587952,139048.84375,-1,22518.296875,3446.349365234375,23466.109375,3.38988995552063,3.477696418762207,56.061710357666016,32.664329528808594,26.5440616607666,21.886131286621094,37.32225799560547,38.122257232666016,23466.11,32.66433,-2.856366012764441,0.12414203015640335,0.9317647058823528,469.3805436695654,54.083543818294274
130812583936.0,2.6781558990478516,0.8295178413391113,3.7705674171447754,-68.63690185546875,-406.4124450683594,2828,95,422,640,0.9640558958053589,207183.859375,-1,18113.287109375,3742.89013671875,19472.814453125,3.6802053451538086,3.6064088344573975,63.67912673950195,22.555095672607422,12.296847343444824,12.296847343444824,22.555095672607422,22.555095672607422,19472.814,22.555096,-2.936182126616189,0.14781648580473286,0.948301329394387,369.77802682819515,65.31367536768465
101071077376.0,3.0602002143859863,0.40428900718688965,3.7362842559814453,-29.828577041625977,-206.942138671875,1417,122,465,363,0.9740831851959229,80969.8671875,-1,7329.45263671875,1489.87158203125,7742.4326171875,3.0523011684417725,3.147270679473877,26.533811569213867,16.330249786376953,9.48908519744873,7.236071586608887,18.583263397216797,18.583263397216797,7742.4326,16.33025,-2.675881947191036,0.15894923290665208,0.9261083743842364,210.46580835235818,46.01343262575308
